"R0000100","R0069300","R0069400","R0069600","R0070400","R0070500","R0074300","R0357900","R0358300","R0504200","R0515100","R0536300","R0536401","R0536402","R1205300","R1205400","R1211000","R1217500","R1482600","R9788600","R9788700","R9788800","R9788900","R9793100","R9864300","R9871900"
210,1,2,2,1,1,4,0,0,-4,-4,1,5,1984,1,5,1,1,2,2,2,2,5,4,300,158
211,0,3,2,1,1,-4,0,0,-4,100,2,6,1980,1,5,1,1,2,-3,-3,-3,4,3,450,293
212,3,1,3,3,3,-4,1,1,-4,90,1,2,1980,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
213,2,2,2,1,1,4,0,0,-4,-4,2,4,1982,1,4,1,1,2,2,2,2,4,4,550,346
214,4,2,1,4,1,5,0,0,-4,-4,2,11,1982,1,5,4,1,2,2,2,2,4,3,400,313
215,5,1,3,3,2,-4,0,1,-4,75,1,5,1981,4,6,1,1,2,2,1,2,3,3,175,284
216,40,2,1,4,4,-4,1,1,1,25,2,6,1980,1,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
217,5,2,2,2,3,1,0,0,-4,-4,2,11,1982,5,3,1,1,2,-4,-4,-4,-4,-4,-4,-4
218,3,2,2,1,1,5,0,0,-4,-4,1,9,1983,1,4,1,1,2,-3,-3,-3,4,4,300,222
219,0,2,1,2,2,4,0,0,-4,-4,1,3,1982,1,3,1,1,3,2,2,1,4,3,300,349
220,1,3,2,1,1,5,0,0,-4,-4,1,3,1984,1,6,1,1,4,2,2,2,8,5,500,243
221,2,2,1,1,1,2,0,0,-4,-4,2,9,1984,2,4,1,1,4,2,2,2,7,-3,300,296
222,2,4,4,4,2,-4,1,0,-4,80,1,1,1981,1,4,2,1,2,2,2,1,5,3,400,282
223,2,2,3,4,1,-4,1,1,-4,100,1,1,1981,1,4,1,1,2,2,2,1,4,3,650,309
224,3,2,2,4,2,4,0,0,-4,-4,2,10,1982,5,3,1,1,4,2,2,2,4,3,550,303
225,0,2,3,4,3,-4,0,1,-4,0,1,10,1980,5,3,4,1,4,1,2,2,9,-3,640,262
226,0,2,2,5,2,-4,0,0,-4,50,2,3,1981,4,4,1,1,1,-3,-3,-3,4,2,400,286
227,0,3,2,5,5,-4,1,1,-4,15,2,1,1980,6,2,1,1,3,-4,-4,-4,-4,-4,-4,-4
228,1,1,3,1,1,1,0,0,-4,-4,1,1,1984,5,7,1,1,4,2,2,2,4,5,400,256
229,0,2,3,1,1,2,0,0,-4,-4,2,2,1984,4,3,1,1,4,2,2,1,4,5,400,377
230,2,2,3,3,1,5,1,0,-4,-4,1,5,1984,1,4,2,1,2,2,2,2,4,2,400,302
231,7,2,1,3,2,-4,0,1,-4,100,1,11,1980,5,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
232,1,2,2,2,1,3,0,0,-4,-4,1,6,1984,4,2,2,1,2,-4,-4,-4,-4,-4,-4,-4
